idna_subject,checker_type,destination,tested_at
1sana1bana.estepeta.com.tr,AVAILABILITY,domains.list,2021-01-24 12:05:06.671572
1xbahislvfw.com,AVAILABILITY,domains.list,2021-03-03 03:30:43.527980
1xbeettuyelik.xyz,AVAILABILITY,domains.list,2021-03-03 03:30:43.807005
2makrobetmedya.com,AVAILABILITY,domains.list,2021-03-03 03:30:45.379260
3efetarim.com,AVAILABILITY,domains.list,2021-03-03 03:30:46.002466
3makrobetmedya.com,AVAILABILITY,domains.list,2021-03-03 03:30:46.106384
4club.reisen,AVAILABILITY,domains.list,2021-03-03 03:30:46.954111
15elon9.zgnkwfb.com,AVAILABILITY,domains.list,2021-03-03 03:30:48.452586
62m33.x.incapdns.net,AVAILABILITY,domains.list,2021-03-03 03:30:49.650721
aadserving.com,AVAILABILITY,domains.list,2021-03-03 03:30:54.508180
aaslmqzce.bid,AVAILABILITY,domains.list,2021-03-03 03:30:55.977928
acc-hd.de,AVAILABILITY,domains.list,2021-03-03 03:30:58.401796
action.adzcore.com,AVAILABILITY,domains.list,2021-03-03 03:30:59.814949
acemmadencilik.com.tr,AVAILABILITY,domains.list,2021-03-03 03:31:09.341215
ad.adapter.kaffnet.com,AVAILABILITY,domains.list,2021-03-03 03:31:18.624473
ad.click.kaffnet.com,AVAILABILITY,domains.list,2021-03-03 03:31:21.268537
ad.api.kaffnet.com,AVAILABILITY,domains.list,2021-03-03 03:31:22.042114
ad.emlakeki.com,AVAILABILITY,domains.list,2021-03-03 03:31:22.794579
ad.logro.com.tr,AVAILABILITY,domains.list,2021-03-03 03:31:25.369424
ad.puffnetwork.com,AVAILABILITY,domains.list,2021-03-03 03:31:26.672661
ad.reklam.xyz,AVAILABILITY,domains.list,2021-03-03 03:31:27.400782
ad.mygamesol.com,AVAILABILITY,domains.list,2021-03-03 03:31:28.300159
ad.reklamnative.com,AVAILABILITY,domains.list,2021-03-03 03:31:28.820754
ad.sacitaslan.com,AVAILABILITY,domains.list,2021-03-03 03:31:30.277628
ad.setrowid.com,AVAILABILITY,domains.list,2021-03-03 03:31:30.610293
ad.skypidar.club,AVAILABILITY,domains.list,2021-03-03 03:31:31.153891
adanabereketkargo.net,AVAILABILITY,domains.list,2021-03-03 03:31:32.443266
