subject,idna_subject,expiration_date,epoch
0n.click,0n.click,04-feb-2021,1612396800.0
110380d053f716c4.com,110380d053f716c4.com,09-jul-2021,1625788800.0
168logger.com,168logger.com,05-aug-2021,1628121600.0
16yp1ji92a.com,16yp1ji92a.com,25-apr-2021,1619308800.0
1b969cef84d93b43.com,1b969cef84d93b43.com,09-jul-2021,1625788800.0
1makrobetmedya.com,1makrobetmedya.com,28-jun-2021,1624838400.0
1perabetmedya.com,1perabetmedya.com,28-jun-2021,1624838400.0
1virusyakalandi.xyz,1virusyakalandi.xyz,02-feb-2021,1612224000.0
1x-bet.mobi,1x-bet.mobi,15-mar-2021,1615766400.0
1xbahisbuwv.com,1xbahisbuwv.com,26-jun-2021,1624665600.0
1xbahiscufw.com,1xbahiscufw.com,26-jun-2021,1624665600.0
1xbahiseank.com,1xbahiseank.com,28-feb-2021,1614470400.0
1xbahisjhgc.com,1xbahisjhgc.com,31-mar-2021,1617148800.0
1xbahisnuul.com,1xbahisnuul.com,26-feb-2021,1614297600.0
1xbet-won.com,1xbet-won.com,26-apr-2021,1619395200.0
1xbet.mobi,1xbet.mobi,20-apr-2021,1618876800.0
1xbetcom.mobi,1xbetcom.mobi,02-jun-2021,1622592000.0
1xbetru.mobi,1xbetru.mobi,02-jun-2021,1622592000.0
1xbett.mobi,1xbett.mobi,02-jun-2021,1622592000.0
1xreddafq.world,1xreddafq.world,01-mar-2021,1614556800.0
1xredrveu.world,1xredrveu.world,01-mar-2021,1614556800.0
1xslot1.com,1xslot1.com,12-jun-2021,1623456000.0
1xspor.mobi,1xspor.mobi,15-may-2021,1621036800.0
1xsport.mobi,1xsport.mobi,15-may-2021,1621036800.0
1xsportru.mobi,1xsportru.mobi,15-may-2021,1621036800.0
1xsports.mobi,1xsports.mobi,15-may-2021,1621036800.0
22bet10.com,22bet10.com,21-aug-2021,1629504000.0
2436.net,2436.net,05-jun-2021,1622851200.0
24ankara.com,24ankara.com,10-jun-2021,1623283200.0
267bets10.com,267bets10.com,30-mar-2021,1617062400.0
286bets10.com,286bets10.com,30-mar-2021,1617062400.0
2clicks.xyz,2clicks.xyz,30-may-2021,1622332800.0
2mdn.net,2mdn.net,02-may-2021,1619913600.0
321oyna.com,321oyna.com,09-apr-2021,1617926400.0
3550999.com,3550999.com,09-mar-2021,1615248000.0
389807.com,389807.com,30-may-2021,1622332800.0
41df76c67812005c.com,41df76c67812005c.com,05-mar-2021,1614902400.0
4club.com,4club.com,05-may-2022,1651708800.0
50bahisnow.com,50bahisnow.com,20-feb-2021,1613779200.0
5588389.com,5588389.com,23-may-2021,1621728000.0
5handikap.com,5handikap.com,30-jan-2021,1611964800.0
5posta.org,5posta.org,03-sep-2021,1630627200.0
600bets10.com,600bets10.com,30-mar-2021,1617062400.0
602d76e204c032.com,602d76e204c032.com,11-may-2021,1620691200.0
64jxx.com,64jxx.com,03-feb-2021,1612310400.0
65vk1fba34.com,65vk1fba34.com,16-apr-2021,1618531200.0
6galafx.com,6galafx.com,21-jun-2021,1624233600.0
6uwehz1xp4.com,6uwehz1xp4.com,16-apr-2021,1618531200.0
7galafx.com,7galafx.com,21-jun-2021,1624233600.0
8210999.com,8210999.com,09-mar-2021,1615248000.0
82o9v830.com,82o9v830.com,24-feb-2021,1614124800.0
8a8cq8c8yyqjs2xr.pro,8a8cq8c8yyqjs2xr.pro,13-feb-2021,1613174400.0
8bef5bb6b351ca5e.com,8bef5bb6b351ca5e.com,09-jul-2021,1625788800.0
944e66f8683ac43c.com,944e66f8683ac43c.com,09-jul-2021,1625788800.0
995db2642d3d852b.com,995db2642d3d852b.com,09-jul-2021,1625788800.0
a5e04df959f1af34.com,a5e04df959f1af34.com,09-jul-2021,1625788800.0
abcgoruntuleme.com.tr,abcgoruntuleme.com.tr,16-apr-2021,1618531200.0
abihayatturkuaz.com,abihayatturkuaz.com,17-mar-2021,1615939200.0
abtekin.com.tr,abtekin.com.tr,22-may-2021,1621641600.0
acdstore.com.tr,acdstore.com.tr,15-dec-2022,1671062400.0
aciklise.web.tr,aciklise.web.tr,25-may-2021,1621900800.0
acilankara.com,acilankara.com,04-apr-2021,1617494400.0
acrmbjkk6qc5utby.pro,acrmbjkk6qc5utby.pro,13-feb-2021,1613174400.0
action.com.tr,action.com.tr,30-may-2021,1622332800.0
acuityplatform.com,acuityplatform.com,27-may-2022,1653609600.0
adaboya.com.tr,adaboya.com.tr,12-aug-2021,1628726400.0
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0
adanademir.com,adanademir.com,14-feb-2021,1613260800.0
adanak.net,adanak.net,12-feb-2021,1613088000.0
adanaplastikgeridonusum.com,adanaplastikgeridonusum.com,24-feb-2021,1614124800.0
adapazarihuzur.com,adapazarihuzur.com,21-mar-2021,1616284800.0
adasist.com,adasist.com,09-may-2021,1620518400.0
adbetclickin.pink,adbetclickin.pink,29-jun-2021,1624924800.0
adbetnet.com,adbetnet.com,14-aug-2021,1628899200.0
adbooks.ru,adbooks.ru,04-mar-2021,1614816000.0
adbreak.net,adbreak.net,02-jan-2023,1672617600.0
adcater.com,adcater.com,16-aug-2021,1629072000.0
adclicks.io,adclicks.io,28-apr-2021,1619568000.0
adcolony.com,adcolony.com,07-aug-2021,1628294400.0
addtoany.com,addtoany.com,10-mar-2021,1615334400.0
addwords.com.tr,addwords.com.tr,02-apr-2024,1712016000.0
adeko.mobi,adeko.mobi,29-aug-2021,1630195200.0
adexchangegate.com,adexchangegate.com,27-apr-2021,1619481600.0
adform.net,adform.net,23-sep-2023,1695427200.0
adformdsp.net,adformdsp.net,02-aug-2023,1690934400.0
adgain-publisher.com,adgain-publisher.com,07-feb-2021,1612656000.0
adhood.com,adhood.com,03-feb-2024,1706918400.0
adimage.media,adimage.media,27-aug-2021,1630022400.0
adinfinitum.in,adinfinitum.in,20-feb-2022,1645315200.0
adiyamanlicigkoftecim.com,adiyamanlicigkoftecim.com,01-jul-2029,1877558400.0
adjust.io,adjust.io,24-may-2021,1621814400.0
adkernel.com,adkernel.com,24-may-2021,1621814400.0
adklik.com.tr,adklik.com.tr,27-apr-2024,1714176000.0
adlure.net,adlure.net,10-apr-2021,1618012800.0
admatic.com.tr,admatic.com.tr,05-jan-2023,1672876800.0
admeld.com,admeld.com,05-jul-2021,1625443200.0
admiraltours.com.tr,admiraltours.com.tr,06-jul-2021,1625529600.0
admitlead.ru,admitlead.ru,02-may-2021,1619913600.0
admost.com,admost.com,19-jul-2022,1658188800.0
adnangul.av.tr,adnangul.av.tr,29-jun-2022,1656460800.0
adnetworkperformance.com,adnetworkperformance.com,27-apr-2021,1619481600.0
adnexio.com,adnexio.com,26-jun-2021,1624665600.0
adnium.com,adnium.com,17-jun-2026,1781654400.0
adnxs.com,adnxs.com,27-may-2022,1653609600.0
adocean.pl,adocean.pl,18-mar-2021,1616025600.0
adon.io,adon.io,05-feb-2021,1612483200.0
adoutput.com,adoutput.com,11-jun-2021,1623369600.0
adplxmd.com,adplxmd.com,09-may-2021,1620518400.0
adpop.club,adpop.club,29-may-2021,1622246400.0
adpozitif.com,adpozitif.com,28-apr-2024,1714262400.0
adpre.com,adpre.com,27-may-2021,1622073600.0
adrayon.com,adrayon.com,19-jul-2021,1626652800.0
adrazzi.com,adrazzi.com,21-jun-2021,1624233600.0
adrecover.com,adrecover.com,06-may-2025,1746489600.0
adreda.com,adreda.com,22-aug-2021,1629590400.0
adrttt.com,adrttt.com,22-jun-2022,1655856000.0
adrunnr.com,adrunnr.com,02-mar-2021,1614643200.0
ads-twitter.com,ads-twitter.com,26-may-2022,1653523200.0
ads.gold,ads.gold,19-feb-2021,1613692800.0
ads1-adnow.com,ads1-adnow.com,03-mar-2021,1614729600.0
ads2-adnow.com,ads2-adnow.com,03-mar-2021,1614729600.0
adsafeprotected.com,adsafeprotected.com,01-apr-2023,1680307200.0
adsblok.com,adsblok.com,05-jun-2021,1622851200.0
adsco.re,adsco.re,14-feb-2027,1802563200.0
adsmobila.com,adsmobila.com,20-feb-2021,1613779200.0
adsnative.com,adsnative.com,21-jun-2021,1624233600.0
adsonwest.com,adsonwest.com,17-jun-2021,1623888000.0
adsupp.network,adsupp.network,12-aug-2021,1628726400.0
adsymptotic.com,adsymptotic.com,09-sep-2023,1694217600.0
adtarget.com.tr,adtarget.com.tr,29-sep-2024,1727568000.0
adtech.com,adtech.com,26-jul-2021,1627257600.0
adtiming.com,adtiming.com,08-jul-2024,1720396800.0
adultvideo.mobi,adultvideo.mobi,06-mar-2021,1614988800.0
advancenative.com,advancenative.com,12-apr-2021,1618185600.0
advertising.com,advertising.com,04-jan-2022,1641254400.0
advertserve.com,advertserve.com,11-feb-2023,1676073600.0
advrstcdn.com,advrstcdn.com,07-mar-2021,1615075200.0
adwods.com,adwods.com,02-aug-2021,1627862400.0
adworkmedia.com,adworkmedia.com,08-feb-2021,1612742400.0
adworld.com.tr,adworld.com.tr,10-nov-2023,1699574400.0
adxpremium.com,adxpremium.com,24-oct-2021,1635033600.0
adzerk.net,adzerk.net,12-may-2024,1715472000.0
aff-online.com,aff-online.com,27-apr-2024,1714176000.0
affibtm.com,affibtm.com,01-mar-2021,1614556800.0
affiliatenetworkhq.com,affiliatenetworkhq.com,07-aug-2021,1628294400.0
afftraf.co,afftraf.co,23-feb-2021,1614038400.0
afge.info,afge.info,15-apr-2021,1618444800.0
afyonturkreklam.com,afyonturkreklam.com,31-aug-2021,1630368000.0
ag88xx974443xxrw48356458vs3.website,ag88xx974443xxrw48356458vs3.website,28-mar-2021,1616889600.0
agito.com.tr,agito.com.tr,30-jul-2021,1627603200.0
aglamasenfistik.com,aglamasenfistik.com,09-apr-2021,1617926400.0
agreensdistra.info,agreensdistra.info,12-apr-2021,1618185600.0
ahusenturk.com,ahusenturk.com,09-jun-2021,1623196800.0
aima.com.tr,aima.com.tr,27-oct-2021,1635292800.0
aioapps.com,aioapps.com,16-aug-2021,1629072000.0
airsoftpoligon.com.tr,airsoftpoligon.com.tr,09-dec-2021,1639008000.0
aitech.com.tr,aitech.com.tr,07-jan-2024,1704585600.0
ajansblue.net,ajansblue.net,13-may-2021,1620864000.0
ajansreklam.net,ajansreklam.net,05-mar-2021,1614902400.0
ajansvitrin.com,ajansvitrin.com,09-apr-2021,1617926400.0
ajansyenimedya.com,ajansyenimedya.com,30-jan-2021,1611964800.0
akarnakliye.com.tr,akarnakliye.com.tr,14-jan-2023,1673654400.0
akbet60.com,akbet60.com,29-aug-2021,1630195200.0
akbilgicinsaat.net,akbilgicinsaat.net,26-jan-2022,1643155200.0
akdenizklima.com.tr,akdenizklima.com.tr,25-aug-2021,1629849600.0
akgullerinsaat.com.tr,akgullerinsaat.com.tr,03-apr-2021,1617408000.0
akkurtgida.com.tr,akkurtgida.com.tr,17-may-2021,1621209600.0
akmeyinsaat.com,akmeyinsaat.com,04-feb-2021,1612396800.0
akseremlak.com,akseremlak.com,15-mar-2021,1615766400.0
aksoydanismanlik.com,aksoydanismanlik.com,23-sep-2021,1632355200.0
akyelnakliyat.com,akyelnakliyat.com,13-mar-2021,1615593600.0
alaca.com.tr,alaca.com.tr,11-may-2021,1620691200.0
alcaninsaat.com.tr,alcaninsaat.com.tr,25-jun-2021,1624579200.0
alephd.com,alephd.com,31-aug-2021,1630368000.0
aletedevat.com.tr,aletedevat.com.tr,09-jul-2025,1752019200.0
alfaturkey.com.tr,alfaturkey.com.tr,10-jul-2023,1688947200.0
alicicek.com.tr,alicicek.com.tr,19-oct-2022,1666137600.0
allaescort.com,allaescort.com,21-may-2021,1621555200.0
allmygreatlife.com,allmygreatlife.com,05-feb-2021,1612483200.0
allornamenti.com,allornamenti.com,12-mar-2021,1615507200.0
aloantep.com,aloantep.com,30-may-2021,1622332800.0
altinbronz.com.tr,altinbronz.com.tr,19-feb-2021,1613692800.0
altincek.info,altincek.info,28-jun-2021,1624838400.0
altunsut.com.tr,altunsut.com.tr,26-apr-2021,1619395200.0
amazingcounters.com,amazingcounters.com,14-may-2021,1620950400.0
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0
amobil.online,amobil.online,02-jun-2021,1622592000.0
amorenetwork.com,amorenetwork.com,23-may-2021,1621728000.0
amung.us,amung.us,17-mar-2022,1647475200.0
anadolucasino.com,anadolucasino.com,02-apr-2021,1617321600.0
anadoluelektrik.com.tr,anadoluelektrik.com.tr,01-may-2023,1682899200.0
anadoluhotel.net,anadoluhotel.net,27-may-2021,1622073600.0
anadolutente.com.tr,anadolutente.com.tr,16-feb-2021,1613433600.0
anadoluyakasiescortbayan.net,anadoluyakasiescortbayan.net,23-apr-2021,1619136000.0
anadoluyakasiparti.com,anadoluyakasiparti.com,27-mar-2021,1616803200.0
anarotomotiv.com.tr,anarotomotiv.com.tr,12-nov-2024,1731369600.0
androidimod.com,androidimod.com,27-aug-2021,1630022400.0
angi.com.tr,angi.com.tr,01-sep-2021,1630454400.0
ankaotel.net,ankaotel.net,02-apr-2021,1617321600.0
ankara24saatacikcicekci.com,ankara24saatacikcicekci.com,09-feb-2021,1612828800.0
ankarabeads.com,ankarabeads.com,18-apr-2021,1618704000.0
ankaraescortfm.com,ankaraescortfm.com,19-apr-2021,1618790400.0
ankaraescortvar.com,ankaraescortvar.com,02-apr-2021,1617321600.0
ankaraesnaf.net,ankaraesnaf.net,05-aug-2021,1628121600.0
ankaraikincielesyalar.com,ankaraikincielesyalar.com,28-aug-2021,1630108800.0
ankarakiralikvinc.web.tr,ankarakiralikvinc.web.tr,05-mar-2021,1614902400.0
ankarakitapligi.com,ankarakitapligi.com,31-aug-2021,1630368000.0
ankaramehteri.com,ankaramehteri.com,03-aug-2021,1627948800.0
ankaraoguzmobilya.com,ankaraoguzmobilya.com,24-feb-2021,1614124800.0
ankaratemizlik.web.tr,ankaratemizlik.web.tr,10-jun-2021,1623283200.0
ankaratemizliksirketleri.web.tr,ankaratemizliksirketleri.web.tr,05-aug-2022,1659657600.0
antalyaelektirik.com,antalyaelektirik.com,27-apr-2021,1619481600.0
antalyafiber.com,antalyafiber.com,23-mar-2021,1616457600.0
antalyahabercisi.com,antalyahabercisi.com,29-aug-2021,1630195200.0
antalyaipl.com,antalyaipl.com,19-mar-2021,1616112000.0
antalyaofisburo.com,antalyaofisburo.com,31-aug-2021,1630368000.0
antalyatente.net,antalyatente.net,20-mar-2021,1616198400.0
