idna_subject,checker_type,destination,source,tested_at,session_id
::1,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.555332,9bfd82aaaa09296db1373a65
localhost,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.557566,9bfd82aaaa09296db1373a65
1xbahisbuwv.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.562178,9bfd82aaaa09296db1373a65
1xbahiscufw.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.562864,9bfd82aaaa09296db1373a65
1xbahiseank.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.563464,9bfd82aaaa09296db1373a65
1xbahisjhgc.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.564105,9bfd82aaaa09296db1373a65
1xbahislvfw.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.564770,9bfd82aaaa09296db1373a65
1xbahisnuul.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.565661,9bfd82aaaa09296db1373a65
1xbeettuyelik.xyz,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.566447,9bfd82aaaa09296db1373a65
1x-bet.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.567143,9bfd82aaaa09296db1373a65
1xbet.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.567894,9bfd82aaaa09296db1373a65
1xbetcom.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.568789,9bfd82aaaa09296db1373a65
1xbetlat.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.569604,9bfd82aaaa09296db1373a65
1xbetm.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.570388,9bfd82aaaa09296db1373a65
1xbetru.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.571174,9bfd82aaaa09296db1373a65
1xbett.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.572004,9bfd82aaaa09296db1373a65
1xbet-won.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.572824,9bfd82aaaa09296db1373a65
1xbit8.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.573654,9bfd82aaaa09296db1373a65
1xbk.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.574452,9bfd82aaaa09296db1373a65
1xreddafq.world,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.575269,9bfd82aaaa09296db1373a65
1xredrveu.world,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.576131,9bfd82aaaa09296db1373a65
1xslot1.com,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.577076,9bfd82aaaa09296db1373a65
1xspor.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.578000,9bfd82aaaa09296db1373a65
1xsport.mobi,AVAILABILITY,domains.list,/home/runner/work/xorcan_tuerk_ad_list/xorcan_tuerk_ad_list/domains.list,2001-01-24 10:20:42.578957,9bfd82aaaa09296db1373a65
